用户昵称,消息角色,消息内容,时间戳,消息来源
TB_26668148,buyer,还能租么？,2025-11-18 22:55:12,browser_automation
TB_26668148,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复,2025-11-18 22:55:12,browser_automation
TB_26668148,buyer,Insta go3s 9.28-10.7 10天 每天20元？,2025-11-18 22:55:12,browser_automation
TB_26668148,seller,你好~ 9.28-10.7十天，9.27到手，10.8还~go3s标准套装200r~顺丰包邮寄出哈,2025-11-18 22:55:12,browser_automation
TB_26668148,buyer,还能租么？,2025-11-18 22:55:12,browser_automation
TB_26668148,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复,2025-11-18 22:55:12,browser_automation
TB_26668148,buyer,Insta go3s 9.28-10.7 10天 每天20元？,2025-11-18 22:55:12,browser_automation
TB_26668148,seller,你好~ 9.28-10.7十天，9.27到手，10.8还~go3s标准套装200r~顺丰包邮寄出哈,2025-11-18 22:55:12,browser_automation
TB_26668148,buyer,TB_26668148(一***啊)闲鱼号...,2025-11-18 22:55:12,browser_automation
TB_26668148,buyer,09-26 07:47还能租么？亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复已读Insta go3s 9.28-10.7 10天 每天20元？09-26 09:15你好~ 9.28-10.7十天，9.27到手，10.8还~go3s标准套装200r~顺丰包邮寄出哈未读,2025-11-18 22:55:12,browser_automation
TB_26668148,buyer,还能租么？,2025-11-18 22:55:12,browser_automation
TB_26668148,buyer,还能租么？,2025-11-18 22:55:12,browser_automation
TB_26668148,buyer,还能租么？,2025-11-18 22:55:12,browser_automation
TB_26668148,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复已读,2025-11-18 22:55:12,browser_automation
TB_26668148,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复已读,2025-11-18 22:55:12,browser_automation
TB_26668148,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复,2025-11-18 22:55:12,browser_automation
TB_26668148,buyer,Insta go3s 9.28-10.7 10天 每天20元？,2025-11-18 22:55:12,browser_automation
TB_26668148,buyer,Insta go3s 9.28-10.7 10天 每天20元？,2025-11-18 22:55:12,browser_automation
TB_26668148,buyer,Insta go3s 9.28-10.7 10天 每天20元？,2025-11-18 22:55:12,browser_automation
TB_26668148,seller,你好~ 9.28-10.7十天，9.27到手，10.8还~go3s标准套装200r~顺丰包邮寄出哈未读,2025-11-18 22:55:12,browser_automation
TB_26668148,seller,你好~ 9.28-10.7十天，9.27到手，10.8还~go3s标准套装200r~顺丰包邮寄出哈未读,2025-11-18 22:55:12,browser_automation
TB_26668148,seller,你好~ 9.28-10.7十天，9.27到手，10.8还~go3s标准套装200r~顺丰包邮寄出哈,2025-11-18 22:55:12,browser_automation
